,date,price,kospi_log_yoy,kospi_log_yoy_z
141,1994-02-01,918.88,0.3570730232115231,0.9886878137283278
142,1994-03-01,867.22,0.2628775300879447,0.6586908707572224
143,1994-04-01,908.72,0.23060762231836573,0.5456390615804309
144,1994-05-01,939.49,0.22218870179003503,0.5161448899875185
145,1994-06-01,933.36,0.22022557481549043,0.5092674282451194
146,1994-07-01,927.97,0.2400370656937607,0.5786734179452003
147,1994-08-01,944.23,0.35076320729213073,0.9665825102253442
148,1994-09-01,1050.51,0.37935050481867183,1.066732957754586
149,1994-10-01,1105.62,0.38712879654976806,1.0939828017511741
150,1994-11-01,1074.41,0.28118491857000283,0.7228275086421976
151,1994-12-01,1027.37,0.17066467852655176,0.33563975537120466
152,1995-01-01,925.56,-0.021537008409509895,-0.3377042340230543
153,1995-02-01,885.69,-0.03678853486887235,-0.39113520975593374
154,1995-03-01,931.78,0.07180404216883574,-0.01070067660067529
155,1995-04-01,897.0,-0.012981153864370043,-0.30773033876781675
156,1995-05-01,882.5,-0.06257838602986787,-0.48148530784017024
157,1995-06-01,894.41,-0.04262669549748477,-0.41158815390570136
158,1995-07-01,933.57,0.006016542102510236,-0.24117533295304566
159,1995-08-01,914.06,-0.032473565723100783,-0.3760184925978086
160,1995-09-01,982.65,-0.0667780356702874,-0.4961980238834949
161,1995-10-01,990.26,-0.11019400766380283,-0.6482980613575058
162,1995-11-01,930.92,-0.14335360820972554,-0.7644667489181892
163,1995-12-01,882.94,-0.15150016955934031,-0.7930067591878155
164,1996-01-01,878.82,-0.05181886117563739,-0.4437912505983921
165,1996-02-01,852.83,-0.03780677121787601,-0.3947024173924227
166,1996-03-01,874.16,-0.06383331005641413,-0.4858817081209985
167,1996-04-01,980.9,0.0894146555114741,0.05099493509162267
168,1996-05-01,903.09,0.02306342741711731,-0.1814546408641028
169,1996-06-01,817.43,-0.0899990108242168,-0.577548527601879
170,1996-07-01,821.71,-0.12762841202517894,-0.7093763566240135
171,1996-08-01,781.49,-0.15669386093944837,-0.8112019214120051
172,1996-09-01,789.67,-0.21863786717385292,-1.028211589442713
173,1996-10-01,757.59,-0.2678251927038815,-1.2005305244531081
174,1996-11-01,726.48,-0.24796239109489093,-1.1309447768504162
175,1996-12-01,651.22,-0.30440972137794464,-1.3286978307874024
176,1997-01-01,685.84,-0.24793573418777015,-1.1308513891779575
177,1997-02-01,676.53,-0.23158343850364105,-1.0735640667447839
178,1997-03-01,677.34,-0.25509006276097956,-1.1559152906437375
179,1997-04-01,703.23,-0.3327865099932641,-1.4281107982645977
180,1997-05-01,756.77,-0.1767628398645753,-0.8815099741036011
181,1997-06-01,745.4,-0.09224428514874194,-0.5854144417624721
182,1997-07-01,726.12,-0.12367224433254709,-0.6955166357269978
183,1997-08-01,695.37,-0.11675827586965681,-0.671294792612284
184,1997-09-01,647.11,-0.19909884116628085,-0.95976013133874
185,1997-10-01,470.79,-0.4757302074884011,-1.9288882943651424
186,1997-11-01,407.86,-0.5772869751173717,-2.2846741365988015
187,1997-12-01,376.31,-0.5484342549595391,-2.183593828690713
188,1998-01-01,567.38,-0.18961509111893093,-0.926535521330895
189,1998-02-01,558.98,-0.190863098185865,-0.9309076892896557
190,1998-03-01,481.04,-0.3422229357701969,-1.4611696162154335
191,1998-04-01,421.22,-0.5125287450636691,-2.057805342335945
192,1998-05-01,332.03,-0.8238340500800714,-3.1484074038520453
193,1998-06-01,297.88,-0.9172302662027132,-3.475604223822041
194,1998-07-01,343.33,-0.7490232066516533,-2.886321089381779
195,1998-08-01,310.16,-0.8073557846420218,-3.090678769076613
196,1998-09-01,310.32,-0.7349122723741495,-2.83688597290616
197,1998-10-01,403.44,-0.15438435695026875,-0.8031109901908161
198,1998-11-01,451.88,0.10249267959452713,0.09681143675638981
199,1998-12-01,562.46,0.4019067486510659,1.1457546950242823
200,1999-01-01,571.43,0.007112717792019829,-0.2373350788761034
201,1999-02-01,520.06,-0.07216950480516715,-0.5150860648463383
202,1999-03-01,618.98,0.25212253525359163,0.6210126836241042
203,1999-04-01,752.59,0.5803653282869288,1.770952183502201
204,1999-05-01,736.02,0.7960319659927935,2.5265014012383693
205,1999-06-01,883.0,1.086634479761515,3.5445749627577583
206,1999-07-01,969.72,1.0383152862627796,3.3752973719446513
207,1999-08-01,937.88,1.106533715689861,3.6142883514354933
208,1999-09-01,836.18,0.9912398777816867,3.2103771579011178
209,1999-10-01,833.51,0.7256179219508878,2.279818481434797
210,1999-11-01,996.66,0.7909930308723121,2.5088483996939424
211,1999-12-01,1028.07,0.6031185166431259,1.8506638804359403
212,2000-01-01,943.88,0.5018570483775839,1.4959125663305528
213,2000-02-01,828.38,0.46552779676929656,1.3686395772138151
214,2000-03-01,860.94,0.3299518536034647,0.8936736812717098
215,2000-04-01,725.39,-0.036811149544140775,-0.3912144361972145
216,2000-05-01,731.88,-0.005640726176350697,-0.2820144725748459
217,2000-06-01,821.22,-0.07253416115272948,-0.5163635726754305
218,2000-07-01,705.97,-0.31743462636081166,-1.3743282392528722
219,2000-08-01,688.62,-0.30893241413190253,-1.344542270190099
220,2000-09-01,613.22,-0.31012013866158217,-1.3487032491381246
221,2000-10-01,514.48,-0.48248901789275056,-1.952566569169973
222,2000-11-01,509.23,-0.6715099078366826,-2.614767209250933
223,2000-12-01,504.62,-0.7116328663058411,-2.755330767004257
224,2001-01-01,617.91,-0.42365622363667743,-1.746456471890888
225,2001-02-01,578.1,-0.35972512221543074,-1.5224853738033275
226,2001-03-01,523.22,-0.498022789876293,-2.0069863412566704
227,2001-04-01,577.36,-0.22824345249210687,-1.0618630273763023
228,2001-05-01,612.16,-0.1786228798444771,-0.8880262891290595
229,2001-06-01,595.13,-0.3220111703755375,-1.390361336847583
230,2001-07-01,541.55,-0.2651373453907988,-1.1911141355466164
231,2001-08-01,545.11,-0.23370198576091816,-1.0809860154522883
232,2001-09-01,479.68,-0.2456045473375834,-1.1226844959589068
233,2001-10-01,537.81,0.044348656108248896,-0.10688567619719276
234,2001-11-01,643.89,0.23462812316732506,0.5597241621024771
235,2001-12-01,693.7,0.3182339196150217,0.852622010263944
236,2002-01-01,748.07,0.1911537406990762,0.4074194940515633
237,2002-02-01,819.99,0.3495452809735564,0.9623157247500955
238,2002-03-01,895.58,0.5374695273652277,1.6206744716812396
239,2002-04-01,842.34,0.37771774444789674,1.0610128759004227
240,2002-05-01,796.4,0.2631078859381537,0.6594978809850341
241,2002-06-01,742.72,0.22153925401037977,0.5138696666748231
242,2002-07-01,717.99,0.2820202430928864,0.7257539176433028
243,2002-08-01,736.4,0.3007858401992092,0.7914958069074701
244,2002-09-01,646.42,0.29833023240806167,0.7828930273333817
245,2002-10-01,658.92,0.20309679314392515,0.4492598270213496
246,2002-11-01,724.8,0.11836785066708622,0.15242723905613373
247,2002-12-01,627.55,-0.10021624128480067,-0.6133427541175844
248,2003-01-01,591.86,-0.23422643605339122,-1.0828233325841106
249,2003-02-01,575.43,-0.35417455766028105,-1.5030399706930095
250,2003-03-01,535.7,-0.5138972501903902,-2.0625996535421702
251,2003-04-01,599.35,-0.3403379985588062,-1.4545660782241268
252,2003-05-01,633.42,-0.22896786296038307,-1.0644008689657485
253,2003-06-01,669.93,-0.1031458937711669,-0.6236062638929428
254,2003-07-01,713.52,-0.006245174016680899,-0.2841320467058372
255,2003-08-01,759.47,0.03084737222593592,-0.15418499232798857
256,2003-09-01,697.52,0.07608173979726462,0.004285466510060558
257,2003-10-01,782.36,0.17171286159053523,0.339311875929402
258,2003-11-01,796.18,0.09392953620519773,0.0668120063484546
259,2003-12-01,810.71,0.2560870578302499,0.6349016743523631
260,2004-01-01,848.5,0.3601999642441003,0.9996424883882674
261,2004-02-01,883.42,0.4286831513052132,1.2395609985598406
