,date,국고채(3년),"회사채(3년, AA-)",spread_pp,spread_z
71,2009-12-01,4.24,5.35,1.1099999999999994,0.7808356916825527
72,2010-01-01,4.29,5.4,1.1100000000000003,0.7808356916825544
73,2010-02-01,4.19,5.32,1.13,0.8194184866025854
74,2010-03-01,3.94,5.02,1.0799999999999996,0.7229614993025053
75,2010-04-01,3.77,4.69,0.9200000000000004,0.414299139942252
76,2010-05-01,3.7,4.48,0.7800000000000002,0.1442195755020288
77,2010-06-01,3.75,4.65,0.9000000000000004,0.37571634502222007
78,2010-07-01,3.88,4.81,0.9299999999999997,0.4335905374022666
79,2010-08-01,3.73,4.68,0.9499999999999997,0.4721733323222985
80,2010-09-01,3.48,4.41,0.9300000000000002,0.4335905374022675
81,2010-10-01,3.24,4.13,0.8899999999999997,0.3564249475622029
82,2010-11-01,3.4,4.19,0.7900000000000005,0.16351097296204517
83,2010-12-01,3.25,4.17,0.9199999999999999,0.4142991399422511
84,2011-01-01,3.71,4.52,0.8099999999999996,0.20209376788207534
85,2011-02-01,3.94,4.72,0.7799999999999998,0.14421957550202794
86,2011-03-01,3.74,4.54,0.7999999999999998,0.18280237042205982
87,2011-04-01,3.74,4.54,0.7999999999999998,0.18280237042205982
88,2011-05-01,3.66,4.44,0.7800000000000002,0.1442195755020288
89,2011-06-01,3.65,4.4,0.7500000000000004,0.0863453831219814
90,2011-07-01,3.77,4.48,0.7100000000000004,0.009179793281917625
91,2011-08-01,3.57,4.29,0.7200000000000002,0.028471190741933137
92,2011-09-01,3.45,4.24,0.79,0.1635109729620443
93,2011-10-01,3.47,4.29,0.8199999999999998,0.2213851653420917
94,2011-11-01,3.39,4.24,0.8500000000000001,0.27925935772213994
95,2011-12-01,3.36,4.24,0.8800000000000003,0.3371335501021882
96,2012-01-01,3.37,4.24,0.8700000000000001,0.31784215264217186
97,2012-02-01,3.43,4.25,0.8199999999999998,0.2213851653420917
98,2012-03-01,3.55,4.36,0.8100000000000005,0.20209376788207703
99,2012-04-01,3.5,4.25,0.75,0.08634538312198053
100,2012-05-01,3.38,4.01,0.6299999999999999,-0.14515138639821076
101,2012-06-01,3.29,3.87,0.5800000000000001,-0.24160837369829005
102,2012-07-01,3.01,3.6,0.5900000000000003,-0.22231697623827368
103,2012-08-01,2.83,3.4,0.5699999999999998,-0.2608997711583064
104,2012-09-01,2.81,3.31,0.5,-0.3959395533784176
105,2012-10-01,2.78,3.3,0.52,-0.3573567584583857
106,2012-11-01,2.8,3.32,0.52,-0.3573567584583857
107,2012-12-01,2.85,3.3,0.44999999999999973,-0.4923965406784977
108,2013-01-01,2.75,3.2,0.4500000000000002,-0.49239654067849686
109,2013-02-01,2.7,3.06,0.3599999999999999,-0.6660191178186408
110,2013-03-01,2.6,2.95,0.3500000000000001,-0.6853105152786563
111,2013-04-01,2.55,2.91,0.3600000000000003,-0.6660191178186399
112,2013-05-01,2.59,2.96,0.3700000000000001,-0.6467277203586244
113,2013-06-01,2.87,3.24,0.3700000000000001,-0.6467277203586244
114,2013-07-01,2.91,3.38,0.46999999999999975,-0.45381374575846584
115,2013-08-01,2.94,3.33,0.3900000000000001,-0.6081449254385926
116,2013-09-01,2.9,3.29,0.3900000000000001,-0.6081449254385926
117,2013-10-01,2.83,3.25,0.41999999999999993,-0.5502707330585451
118,2013-11-01,2.936,3.366,0.43000000000000016,-0.5309793355985287
119,2013-12-01,2.941,3.36,0.41900000000000004,-0.5521998728045465
120,2014-01-01,2.892,3.319,0.42700000000000005,-0.5367667548365337
121,2014-02-01,2.854,3.28,0.4259999999999997,-0.538695894582536
122,2014-03-01,2.874,3.303,0.4289999999999998,-0.532908475344531
123,2014-04-01,2.875,3.303,0.42799999999999994,-0.5348376150905324
124,2014-05-01,2.838,3.264,0.4259999999999997,-0.538695894582536
125,2014-06-01,2.746,3.168,0.42200000000000015,-0.5464124535665414
126,2014-07-01,2.558,2.97,0.41200000000000037,-0.565703851026557
127,2014-08-01,2.54,2.926,0.3860000000000001,-0.6158614844225989
128,2014-09-01,2.405,2.786,0.3810000000000002,-0.6255071831526067
129,2014-10-01,2.239,2.595,0.3560000000000003,-0.6737356768026462
130,2014-11-01,2.138,2.466,0.3280000000000003,-0.7277515896906909
131,2014-12-01,2.143,2.46,0.31700000000000017,-0.7489721268967087
132,2015-01-01,2.039,2.356,0.3169999999999997,-0.7489721268967096
133,2015-02-01,2.024,2.3,0.2759999999999998,-0.8280668564827747
134,2015-03-01,1.865,2.128,0.2630000000000001,-0.8531456731807947
135,2015-04-01,1.739,1.988,0.2489999999999999,-0.8801536296248175
136,2015-05-01,1.875,2.115,0.2400000000000002,-0.8975158873388313
137,2015-06-01,1.773,2.012,0.2390000000000001,-0.899445027084833
138,2015-07-01,1.777,2.001,0.22399999999999998,-0.9283821232748571
139,2015-08-01,1.735,1.98,0.24499999999999988,-0.8878701886088238
140,2015-09-01,1.651,1.946,0.29499999999999993,-0.7914132013087442
