,date,interest,kospi,exchange,fin_index
93,2018-10-01,-0.5078296586465096,-1.0250521132538164,0.0412250984906542,-0.4972188911365573
94,2018-11-01,-0.4673177239804763,-0.8450402415697034,0.1157513869201318,-0.3988688595433492
95,2018-12-01,-0.4364514880444513,-0.926979975757688,0.2382038672471165,-0.3750758655183409
96,2019-01-01,-0.4808217022024877,-0.7942955203399057,0.2004733953832567,-0.3582146090530456
97,2019-02-01,-0.4981839599165018,-0.6140627694269648,0.1805142535399052,-0.3105774919345205
98,2019-03-01,-0.4827508419484886,-0.7291541198563689,0.469484236343472,-0.24747357515379523
99,2019-04-01,-0.451884606012464,-0.7258686727516924,0.6035597042659286,-0.19139785816607593
100,2019-05-01,-0.446097186774459,-0.8620502359220005,0.704287845804366,-0.20128652563069785
101,2019-06-01,-0.3805064354104048,-0.5698199043318172,0.1803111284581678,-0.2566717370946847
102,2019-07-01,-0.3901521341404125,-0.7019152003260997,0.4358701917034138,-0.21873238092103278
103,2019-08-01,-0.3477110597283775,-0.843442443641318,0.5747224935180935,-0.2054770032838674
104,2019-09-01,-0.3862938546484094,-0.7081437238165168,0.5342610365520408,-0.18672551397096182
105,2019-10-01,-0.3882229943944112,-0.1706186162222159,0.0726024699955412,-0.162079713540362
106,2019-11-01,-0.376648155918402,-0.2771544876147048,0.3289330504779937,-0.10828986435170436
107,2019-12-01,-0.2840494481103251,-0.0032239467459899,0.1750979018582997,-0.03739183099933844
108,2020-01-01,-0.2377500942062868,-0.4013717213246731,0.4997309932067172,-0.046463607441414236
109,2020-02-01,-0.2146004172542677,-0.6117145668159649,0.4336231497989464,-0.13089727809042875
110,2020-03-01,0.0844162433759791,-0.9589064259145744,0.4762238985580657,-0.1327554279935099
111,2020-04-01,0.8020562288885713,-0.6949501391908958,0.227195669469918,0.11143391972253118
112,2020-05-01,1.1493013831688574,-0.2831457996812573,0.1764815350849031,0.3475457061908344
113,2020-06-01,1.2785537461509644,-0.2990971019902602,0.1868788708610853,0.3887785050072632
114,2020-07-01,1.326782239801004,0.1066559189500411,-0.0976870690385683,0.4452503632374923
115,2020-08-01,1.268908047420957,0.3238944345151137,-0.3043082800771529,0.429498067286306
116,2020-09-01,1.2071755755489058,0.160866585574923,-0.3960235138603278,0.3240062157545003
117,2020-10-01,1.203317296056902,0.0337211436924335,-0.3969244378495651,0.2800380006332568
118,2020-11-01,1.1126477279948277,0.4944204597745916,-0.6986014850108606,0.3028222342528529
119,2020-12-01,1.033552998408762,0.6770662051887253,-0.6972079281674562,0.33780375847667693
120,2021-01-01,0.8927257969506456,0.9278304436462584,-0.7389558069642198,0.36053347787756146
121,2021-02-01,0.6843787043824743,1.1961391623357736,-0.7282091501540058,0.384102905521414
122,2021-03-01,0.4876064502903121,1.6877477222376536,-0.8353177583659088,0.4466788047206856
