date,card_spending,log_val,12m_log_return,z_score
2014-08-01,714561.0,13.479423647095556,0.06432647868331998,-0.6205937185039336
2014-09-01,695749.0,13.452744242089224,0.08895584244644539,-0.2190073615886117
2014-10-01,721547.0,13.489152797139553,0.08618483370871566,-0.2641891744307066
2014-11-01,682493.0,13.433507549578398,0.08157808953886381,-0.33930299491767735
2014-12-01,729188.0,13.499686865260673,0.0948489511125512,-0.12291912874230643
2015-01-01,682871.0,13.434061248093457,0.09030785592186774,-0.19696253041403705
2015-02-01,620898.0,13.33892209621718,0.06730113352831602,-0.5720914180072
2015-03-01,725383.0,13.49445507021031,0.09386165037984995,-0.13901725081474656
2015-04-01,725324.0,13.494373730560014,0.10779703002055108,0.0882017060354389
2015-05-01,768906.0,13.552724004345269,0.10360689090475184,0.019880708438192243
2015-06-01,751649.0,13.530024738648656,0.08262714725542075,-0.3221979137374337
2015-07-01,804308.0,13.597737559380056,0.09898641869499691,-0.055456950292643976
2015-08-01,817872.0,13.61446112412313,0.13503747702757352,0.5323622608717463
2015-09-01,775697.0,13.561517258996945,0.10877301690772079,0.10411535375225159
2015-10-01,797474.0,13.589204511228806,0.10005171408925229,-0.038087110757519964
2015-11-01,777321.0,13.563608671449279,0.1301011218708812,0.45187407194076773
2015-12-01,804823.0,13.598377656448081,0.09869079118740842,-0.06027721178694065
2016-01-01,741539.0,13.516483035266006,0.08242178717254944,-0.32554634808309024
2016-02-01,695641.0,13.452589001645903,0.11366690542872249,0.18391111629002455
2016-03-01,789751.0,13.579472984887019,0.08501791467670827,-0.28321600628011906
2016-04-01,784693.0,13.573047837469174,0.0786741069091601,-0.38665297179991
2016-05-01,852411.0,13.655824083862893,0.10310007951762401,0.011617054510412622
2016-06-01,831879.0,13.631442276534678,0.10141753788602159,-0.015817099724834017
2016-07-01,853411.0,13.656996539270965,0.05925897989090956,-0.7032202288063927
2016-08-01,883419.0,13.691554885724004,0.07709376160087444,-0.4124207959762225
2016-09-01,825128.0,13.623293804797218,0.061776545800272586,-0.6621708484180536
2016-10-01,868044.0,13.67399768360197,0.08479317237316408,-0.28688047133870065
2016-11-01,845712.0,13.64793415509852,0.0843254836492413,-0.2945062229665896
2016-12-01,864486.0,13.669890389642369,0.07151273319428775,-0.5034205021479935
2017-01-01,838933.0,13.639886125288019,0.12340309002201266,0.3426614168937429
2017-02-01,775748.0,13.561583004157127,0.10899400251122415,0.10771856511796771
2017-03-01,891970.0,13.701187778709572,0.12171479382255335,0.315133433359311
2017-04-01,881373.0,13.68923619783709,0.11618836036791613,0.2250239080330633
2017-05-01,968570.0,13.783576035933924,0.12775195207103174,0.4135704214376448
2017-06-01,933659.0,13.746866554187335,0.11542427765265728,0.2125653972508168
2017-07-01,968943.0,13.78396106561332,0.12696452634235555,0.4007312984801164
2017-08-01,983787.0,13.79916468918817,0.10760980346416638,0.08514894221175855
2017-09-01,961897.0,13.776662655308522,0.15336885051130444,0.8312587149331103
2017-10-01,940059.0,13.753697918233932,0.07970023463196263,-0.3699217684325279
2017-11-01,936394.0,13.74979160706021,0.10185745196169016,-0.00864421890247154
2017-12-01,944615.0,13.758532716055527,0.08864232641315795,-0.22411929882147466
2018-01-01,950772.0,13.7650295651494,0.12514343986138066,0.3710381447082201
2018-02-01,832874.0,13.632637649203755,0.07105464504662784,-0.5108897145943277
2018-03-01,965511.0,13.780412773846397,0.07922499513682446,-0.3776706367894341
2018-04-01,988716.0,13.804162410620673,0.11492621278358328,0.20444435692664917
2018-05-01,1049575.0,13.863895878290734,0.08031984235680945,-0.359818949239514
2018-06-01,1023373.0,13.838614592359018,0.09174803817168353,-0.17348009097467398
2018-07-01,1085851.0,13.897874569326488,0.11391350371316733,0.18793194718213388
2018-08-01,1084490.0,13.896620388367458,0.09745569917928698,-0.08041561669122461
2018-09-01,1019264.0,13.834591356177063,0.05792870086854052,-0.7249106756815932
2018-10-01,1083264.0,13.895489263589724,0.14179134535579152,0.6424853400994601
2018-11-01,1042442.0,13.857076595615775,0.10728498855556445,0.07985277471544168
2018-12-01,1064129.0,13.877667182136182,0.1191344660806557,0.27306070961856904
2019-01-01,1074268.0,13.887150057373056,0.12212049222365629,0.32174842124418784
2019-02-01,965929.0,13.78084561152867,0.14820796232491595,0.7471094731925646
2019-03-01,1090364.0,13.90202214341225,0.12160936956585289,0.3134144712461999
2019-04-01,1121038.0,13.929765599784847,0.125603189164174,0.3785344425979596
2019-05-01,1186087.0,13.986170211667277,0.12227433337654325,0.32425682985456483
2019-06-01,1136078.0,13.94309253787794,0.10447794551892109,0.034083415927625274
2019-07-01,1211871.0,14.007676004303157,0.10980143497666894,0.12088390163951425
2019-08-01,1208810.0,14.005146962573557,0.10852657420609901,0.10009705966700888
2019-09-01,1140224.0,13.946735292296875,0.11214393611981244,0.15907881845475877
2019-10-01,1212856.0,14.008488466946732,0.11299920335700797,0.17302410982637811
2019-11-01,1168087.0,13.970877925897712,0.1138013302819374,0.1861029385230566
2019-12-01,1209104.0,14.005390147402668,0.12772296526648574,0.4130977861983346
2020-01-01,1145817.0,13.951628477641803,0.06447842026874717,-0.6181162826942843
2020-02-01,1017502.0,13.83286116189892,0.05201555037024974,-0.8213256943292074
2020-03-01,1040816.0,13.855515578852433,-0.04650656455981661,-2.427747102160867
2020-04-01,1043333.0,13.857930954359357,-0.0718346454254899,-2.8407261713859864
2020-05-01,1139001.0,13.94566212039206,-0.040508091275217595,-2.3299408796135124
2020-06-01,1147299.0,13.952921042175245,0.009828504297304974,-1.5091933268182596
2020-07-01,1153958.0,13.95870833024055,-0.04896767406260771,-2.4678759503398564
2020-08-01,1152809.0,13.957712130715391,-0.04743483185816544,-2.442882673106701
2020-09-01,1096561.0,13.90768947684765,-0.039045815449224364,-2.3060982003054438
2020-10-01,1129801.0,13.937552068985317,-0.0709363979614146,-2.826080079421301
2020-11-01,1127343.0,13.935374094543596,-0.0355038313541165,-2.248345490869401
2020-12-01,1067871.0,13.881177504690145,-0.12421264271252319,-3.6947591588118502
2021-01-01,1021955.0,13.837228017465225,-0.11440046017657757,-3.5347696976184557
2021-02-01,984769.0,13.800162374884136,-0.0326987870147839,-2.2026087212129695
2021-03-01,1170257.0,13.972733940772285,0.11721836191985169,0.24181827490494381
2021-04-01,1163225.0,13.966706877965096,0.10877592360573907,0.10416274800404957
2021-05-01,1218286.0,14.012955510853997,0.06729339046193772,-0.5722176701446129
2021-06-01,1215925.0,14.011015661974527,0.058094619799282654,-0.7222053366569701
2021-07-01,1231257.0,14.023546156731463,0.06483782649091374,-0.6122560973967387
2021-08-01,1230648.0,14.023051417891075,0.06533928717568394,-0.6040796876660648
2021-09-01,1196198.0,13.994658751629986,0.0869692747823354,-0.2513987168289824
2021-10-01,1251571.0,14.039910120166466,0.10235805118114882,-0.00048185552392408646
2021-11-01,1262803.0,14.048844411336258,0.11347031679266273,0.18070570201601113
2021-12-01,1233824.0,14.025628847667692,0.14445134297754691,0.6858570960488966
2022-01-01,1185329.0,13.985530931148114,0.14830291368288862,0.748657672744089
2022-02-01,1068085.0,13.8813778833503,0.08121550846616366,-0.34521494674365605
2022-03-01,1235327.0,14.02684627032482,0.05411232955253453,-0.7871373197870148
2022-04-01,1271725.0,14.05588480454015,0.0891779265750543,-0.2153862385667375
2022-05-01,1390201.0,14.144958898969225,0.13200338811522805,0.4828908768528775
2022-06-01,1334610.0,14.104149672305335,0.09313401033080737,-0.15088155714645074
2022-07-01,1373501.0,14.132873512584183,0.10932735585272013,0.11315395335066526
2022-08-01,1411083.0,14.159868052634327,0.13681663474325134,0.5613717583272412
2022-09-01,1321027.0,14.093920022356905,0.09926127072691848,-0.050975436793078456
2022-10-01,1397117.0,14.149921385626962,0.11001126546049633,0.12430522670419905
2022-11-01,1345037.0,14.111932079933384,0.06308766859712556,-0.6407927473627141
2022-12-01,1339386.0,14.107721857962067,0.08209301029437555,-0.3309071162301556
