,재별 및 상품군별,date,value,retail_log_yoy,retail_log_yoy_z
142,총지수,2007-11-01,72.7,0.04214106677299512,0.19872689001829305
143,총지수,2007-12-01,75.4,0.006653384490736158,-0.36190758782738675
144,총지수,2008-01-01,71.2,0.05188483536901156,0.35265896638293426
145,총지수,2008-01-01,69.9,-0.03375847992495462,-1.0003343051672102
146,총지수,2008-02-01,68.4,0.034204077770864316,0.07333832140216145
147,총지수,2008-03-01,73.5,0.04451360740217147,0.2362082917685253
148,총지수,2008-04-01,72.3,0.06278809460006851,0.5249086781899968
149,총지수,2008-05-01,73.3,0.03329017535452383,0.05890048914499276
150,총지수,2008-06-01,67.9,-0.007336790063854792,-0.5829243942786799
151,총지수,2008-07-01,69.8,0.040941390377360776,0.17977439984717575
152,총지수,2008-08-01,67.7,0.023917433060588245,-0.08917011293458074
153,총지수,2008-09-01,70.5,-0.018271766235955056,-0.7556751703857225
154,총지수,2008-11-01,69.4,-0.04645451702671455,-1.200906325471081
155,총지수,2008-12-01,71.8,-0.04892279895973228,-1.2399002485367503
156,총지수,2009-01-01,69.1,-0.02993808764430561,-0.939979740042565
157,총지수,2009-01-01,76.9,0.09544022727183421,1.040747137444202
158,총지수,2009-02-01,64.5,-0.058707600826778616,-1.3944805686017034
159,총지수,2009-03-01,69.9,-0.050219756979026364,-1.2603895939989702
160,총지수,2009-04-01,69.2,-0.043823266541094696,-1.1593378248754773
161,총지수,2009-05-01,74.6,0.017579898317110043,-0.1892904998755728
162,총지수,2009-06-01,73.1,0.07379233219108272,0.69875364633581
163,총지수,2009-07-01,70.6,0.011396134730869534,-0.28698160975755627
164,총지수,2009-08-01,67.9,0.0029498546464212794,-0.4204159599419377
165,총지수,2009-09-01,75.3,0.06586742498762455,0.5735559460000127
166,총지수,2009-11-01,76.2,0.09347459517984191,1.009694077603162
167,총지수,2009-12-01,81.0,0.12056467861826103,1.4376632716039384
168,총지수,2010-01-01,73.3,0.05900587811898106,0.46515721442551633
169,총지수,2010-01-01,80.3,0.04326374444111725,0.2164629541334554
